time(us),amplitude
1271120, 0.19
1271924, 0.19
1272732, 0.23
1273548, 0.30
1274360, 0.43
1275168, 0.57
1275980, 0.72
1276788, 0.92
1277604, 1.07
1278412, 1.17
1279228, 1.21
1280040, 1.21
1280844, 1.18
1281660, 1.11
1282468, 1.01
1283276, 0.87
1284084, 0.72
1284900, 0.54
1285716, 0.36
1286524, 0.25
1287332, 0.19
1288140, 0.19
1288956, 0.21
1289772, 0.26
1290580, 0.35
1291388, 0.49
1292196, 0.64
1293012, 0.81
1293820, 1.01
1294628, 1.12
1295436, 1.20
1296248, 1.21
1297060, 1.20
1297868, 1.15
1298684, 1.08
1299492, 0.94
